index,critical_temp
0,204.83390469299636
1,193.35129633389374
2,204.44599716268166
3,177.34972469643526
4,195.63673303740748
5,342.6594771943254
6,382.56989809142885
7,337.35224330981725
8,319.1695039927263
9,-381.9124979224498
10,198.15244735254885
11,196.74212280096359
12,359.7987301470532
13,357.97134282946286
14,358.3168489029065
15,358.3168489029065
16,358.3168489029065
17,358.3168489029065
18,442.30184191590695
19,343.7936800799264
20,138.48801512738297
21,-212.31974018710753
22,192.03147245408732
23,352.6166942619194
24,358.1562245124129
25,355.2985452371554
26,198.15244735254885
27,357.81847151150885
28,-101.25384509015538
29,-115.62406820614302
30,-121.0231220803802
31,-387.7637434354515
32,-386.94700531337537
33,-181.1561350876437
34,-503.19593299873907
35,358.0472052600202
36,357.7414254362509
37,360.81030695097627
38,352.9186328189712
39,360.44145841022987
40,-201.67683912158807
41,-207.0196310057874
42,175.13084368821626
43,-252.84435237045878
44,358.3168489029065
45,-252.84435237045878
46,386.5283300037462
47,351.3703786392306
48,350.7234609940915
49,-184.20244087709807
50,-188.11752274581679
51,-190.02904191619743
52,355.65349959516584
53,353.3384228504923
54,357.97134282946286
55,-191.72802632626704
56,-182.5106951469649
57,-179.65767423318061
58,283.4023815187752
59,264.260417499665
60,358.26613191032845
61,-181.1561350876437
62,358.2744786539398
63,333.02091266014475
64,342.46948331177487
65,338.7551456164989
66,348.0441749183817
67,336.1272027799142
68,-192.35987073031
69,-181.1561350876437
70,-237.24940038299056
71,352.3836042571586
72,-377.49545005468894
73,352.3762498576916
74,198.15244735254885
75,-196.7958842278577
76,-94.84702101769983
77,-112.49462463757382
78,358.3003173477855
79,357.1572088419905
80,391.3246170270537
81,354.1150434928137
82,221.01363483805676
83,207.21396579386845
84,375.70159378727953
85,206.8779427902756
86,358.1562245124129
87,148.36910872173516
88,357.1763017791716
89,357.1313838920297
90,319.05973524632725
91,-211.83831298288993
92,-186.70346473519916
93,-198.74686110566492
94,-207.87423577707827
95,-197.56281595752884
96,151.5646456299044
97,193.71849248099082
98,346.6274185376178
99,330.173269578601
100,316.7778562786342
101,352.3451780255077
102,171.11291547846324
103,-445.7831418031452
104,-448.59906610859036
105,-452.39376397703984
106,-450.3016341545774
107,-435.55954850846035
108,368.6431231655707
109,-191.63370731514442
110,-191.99793749405242
111,-192.2375070012258
112,-192.73576886049986
113,177.22600597140737
114,179.9794748789845
115,181.62214041907455
116,179.9794748789845
117,188.39524835707223
118,166.91580149697856
119,159.71335842118526
120,354.5305239228634
121,354.71361268630574
122,354.86508967769646
123,358.5056913675751
124,367.8082460864788
125,358.3168489029065
126,366.56859424880076
127,-368.92722884994305
128,-386.94700531337537
129,172.38652162446135
130,185.09181814353198
131,-377.49545005468894
132,-386.86460771183135
133,-419.06900656864013
134,-448.7831051467555
135,357.05078197685464
136,-188.3588548417133
137,303.495842058995
138,355.65349959516584
139,353.3384228504923
140,358.1231219683108
141,357.42613402219024
142,200.52873436137375
143,200.53554268250002
144,358.26613191032845
145,357.81847151150885
146,360.7341330059594
147,360.7362106139492
148,370.3282252177846
149,369.0468185018283
150,-268.71077236643305
151,-293.9086182305389
152,-222.64193658519812
153,-390.3719239479018
154,-191.2629134423924
155,358.3168489029065
156,354.2000786632258
157,353.05242168627876
158,350.49749438504125
159,360.66148717503006
160,357.02683174893264
161,-377.49545005468894
162,-388.5583602248273
163,-150.70107176452865
164,-161.71179472479076
165,-495.0639235207483
166,-520.9794416004945
167,352.7913758958505
168,353.2493051912943
169,185.09181814353198
170,-466.2817498610675
171,-416.8653525581485
172,-441.975998458257
173,400.34643635267014
174,355.07539889217435
175,306.47006281929407
176,-113.99916391680563
177,-106.034628801351
178,357.9581174835505
179,215.77110190680486
180,362.85943573058387
181,133.8115859534025
182,305.289846228363
183,316.1707292525141
184,375.72698315961827
185,375.5989823265156
186,360.71061155798657
187,360.6243474581996
188,353.74603180684244
189,353.3533228980307
190,355.8513510093924
191,202.53468419771363
192,367.7864887158206
193,358.3168489029065
194,232.50183298570127
195,282.69680993095676
196,280.83014946455546
197,280.0362820065027
198,357.30540528188953
199,357.4645379717797
200,290.07843936508186
201,320.74114307038315
202,202.84344629754392
203,196.7104552524616
204,197.03647724452358
205,193.31628275742085
206,184.400717595611
207,185.09181814353198
208,354.86508967769646
209,-198.74686110566492
210,318.65960717709083
211,298.7638682921563
212,291.4074315470315
213,358.2744786539398
214,344.2555715060198
215,310.0890092129365
216,194.7494664540995
217,327.76912681572514
218,185.09181814353198
219,204.0096233324747
220,357.9581174835505
221,215.77110190680486
222,198.15244735254885
223,358.2767088998693
224,359.72542001192244
225,-420.466622526322
226,358.3168489029065
227,357.6654441629007
228,-191.37923492309662
229,207.6899384439566
230,285.24414321588506
231,360.51598818849095
232,360.0777676348723
233,353.0272357035004
234,353.4662139573028
235,353.3197105350307
236,167.47014984797224
237,167.3004831015761
238,166.94581749828467
239,165.97015920087546
240,367.8205380813695
241,356.94544056584743
242,362.2066493305384
243,363.57319868508387
244,363.1201460025635
245,337.9455207618796
246,335.12777323559203
247,335.3753604957418
248,368.36432349984136
249,371.38394270844867
250,359.3230910307253
251,361.01236119396583
252,320.134561076243
253,319.05973524632725
254,290.4114046361069
255,-409.1907549502274
256,-409.1907549502274
257,356.06577417211327
258,354.77824456721885
259,212.5441744682205
260,-426.09078491712046
261,189.95885973020592
262,178.16350222595156
263,182.79715772753
264,371.566506819128
265,208.0633989774187
266,-211.83831298288993
267,-201.92815845363623
268,172.30511751597035
269,-181.1561350876437
270,366.56859424880076
271,355.8162814342488
272,280.83014946455546
273,355.1959039265432
274,355.1535886861104
275,355.1034120432007
276,355.01783601044133
277,354.0574725338299
278,179.1689442636248
279,209.76433320318563
280,150.48078547892806
281,150.90964743133708
282,212.5441744682205
283,149.0098189300775
284,375.7662018703729
285,366.56859424880076
286,349.9611121579087
287,212.43065186188454
288,360.58970899122687
289,355.23480179337275
290,355.23480179337275
291,329.6436634361918
292,319.05973524632725
293,226.7677445066838
294,192.67537066692395
